muy,v,n,DeltaT,fD
1,25,0.1,0,0.7148
1,25,0.1,50,0.7275
1,25,0.1,100,0.7407
1,25,0.2,0,0.7547
1,25,0.2,50,0.7675
1,25,0.2,100,0.7806
1,25,0.5,0,0.804
1,25,0.5,50,0.8154
1,25,0.5,100,0.8269
1,25,1,0,0.8795
1,25,1,50,0.8965
1,25,1,100,0.9139
1,25,2,0,0.9308
1,25,2,50,0.9476
1,25,2,100,0.9646
1,25,5,0,0.9594
1,25,5,50,0.9752
1,25,5,100,0.9913
2,25,0.1,0,0.7307
2,25,0.1,50,0.7511
2,25,0.1,100,0.7727
2,25,0.2,0,0.7606
2,25,0.2,50,0.7803
2,25,0.2,100,0.801
2,25,0.5,0,0.8175
2,25,0.5,50,0.8446
2,25,0.5,100,0.8732
2,25,1,0,0.8913
2,25,1,50,0.9193
2,25,1,100,0.9482
2,25,2,0,0.9245
2,25,2,50,0.951
2,25,2,100,0.9778
2,25,5,0,0.9539
2,25,5,50,0.9966
2,25,5,100,1.042
3,25,0.1,0,0.7366
3,25,0.1,50,0.7633
3,25,0.1,100,0.792
3,25,0.2,0,0.7553
3,25,0.2,50,0.7802
3,25,0.2,100,0.8076
3,25,0.5,0,0.8344
3,25,0.5,50,0.8718
3,25,0.5,100,0.9118
3,25,1,0,0.8917
3,25,1,50,0.9282
3,25,1,100,0.9662
3,25,2,0,0.9051
3,25,2,50,0.9568
3,25,2,100,1.0167
3,25,5,0,0.9884
3,25,5,50,1.051
3,25,5,100,1.1193
1,50,0.1,0,0.7487
1,50,0.1,50,0.7629
1,50,0.1,100,0.7777
1,50,0.2,0,0.802
1,50,0.2,50,0.8169
1,50,0.2,100,0.8322
1,50,0.5,0,0.8908
1,50,0.5,50,0.9059
1,50,0.5,100,0.9213
1,50,1,0,0.9324
1,50,1,50,0.9463
1,50,1,100,0.9603
1,50,2,0,0.9294
1,50,2,50,0.9409
1,50,2,100,0.9523
1,50,5,0,0.9807
1,50,5,50,1.0074
1,50,5,100,1.0352
2,50,0.1,0,0.774
2,50,0.1,50,0.7975
2,50,0.1,100,0.8226
2,50,0.2,0,0.8209
2,50,0.2,50,0.8451
2,50,0.2,100,0.8708
2,50,0.5,0,0.8899
2,50,0.5,50,0.9136
2,50,0.5,100,0.9381
2,50,1,0,0.9076
2,50,1,50,0.9278
2,50,1,100,0.948
2,50,2,0,0.929
2,50,2,50,0.9718
2,50,2,100,1.0173
2,50,5,0,1.0444
2,50,5,50,1.0956
2,50,5,100,1.1505
3,50,0.1,0,0.7923
3,50,0.1,50,0.8245
3,50,0.1,100,0.8597
3,50,0.2,0,0.8312
3,50,0.2,50,0.8636
3,50,0.2,100,0.8986
3,50,0.5,0,0.8777
3,50,0.5,50,0.9075
3,50,0.5,100,0.9385
3,50,1,0,0.87
3,50,1,50,0.9137
3,50,1,100,0.973
3,50,2,0,0.9784
3,50,2,50,1.0436
3,50,2,100,1.1153
3,50,5,0,1.0979
3,50,5,50,1.1764
3,50,5,100,1.2636
5,25,0.1,0,0.7275
5,25,0.1,100,0.833
5,25,0.2,50,0.8245
5,25,0.2,100,0.8848
5,25,0.5,0,0.8436
5,25,0.5,50,0.8965
5,25,1,0,0.8683
5,25,1,50,0.9492
5,25,2,50,1.0488
5,25,2,100,1.1532
5,25,5,50,1.1356
5,25,5,100,1.2501
5,50,0.1,50,0.8559
5,50,0.1,100,0.9084
5,50,0.2,40,0.8663
5,50,0.2,100,0.9243
5,50,0.5,80,0.9315
5,50,0.5,100,0.9692
5,50,1,40,1.0222
5,50,1,100,1.1561
5,50,2,20,1.1164
5,50,2,60,1.2141
5,50,5,50,1.3362
5,50,5,100,1.5028
1,80,0.5,0,0.9305
1,80,1,20,1.0906
1,80,2,40,1.2307
2,80,5,80,1.4772
2,80,8,20,1.4609
2,80,0.5,40,1.0145
4,80,1,80,1.3742
4,80,2,20,1.3854
4,80,5,40,1.5491
5,80,8,80,1.7996
5,80,0.5,20,1.1451
5,80,1,40,1.3463
5,80,2,80,1.5895
3,80,5,20,1.4609
3,80,8,40,1.5561
5,80,0.5,80,1.2676
5,80,1,0,1.2575
5,80,2,20,1.4236
